OMNIWeb Plus Browser Results

Listing for omni_min data from 20140218 to 20140223
Selected parameters:
 1 ID for IMF spacecraft
 2 Field magnitude average, nT
 3 BZ, nT (GSM)
 4 Speed, km/s
 5 Proton Density, n/cc
 6 Proton Temperature, K
 7 Flow pressure, nPa

YYYY DOY HR MN  1      2       3       4      5        6     7 
2014  49  0  0 71    4.78    0.82 99999.9 999.99 9999999. 99.99
2014  49  0  1 71    4.78    0.78 99999.9 999.99 9999999. 99.99
2014  49  0  2 71    4.70    0.74 99999.9 999.99 9999999. 99.99
2014  49  0  3 71    4.75    0.47 99999.9 999.99 9999999. 99.99
2014  49  0  4 71    4.70    0.04 99999.9 999.99 9999999. 99.99
2014  49  0  5 71    4.65   -0.04   364.8   2.42   96013.  0.64
2014  49  0  6 71    4.75   -0.21   364.8   2.42   96013.  0.64
2014  49  0  7 71    4.71   -0.53   363.3   2.62  102151.  0.69
2014  49  0  8 71    4.77   -0.67   364.1   2.50  108323.  0.66
2014  49  0  9 71    4.74   -0.85   364.4   2.45  110589.  0.65
2014  49  0 10 71    4.72   -0.91   363.0   2.72  103896.  0.72
2014  49  0 11 71    4.77   -0.80   363.0   2.53  103324.  0.67
2014  49  0 12 71    4.74   -0.93   363.2   2.26  102126.  0.60
2014  49  0 13 71    4.74   -0.71 99999.9 999.99 9999999. 99.99
2014  49  0 14 71    4.75   -0.87   363.4   2.64  103095.  0.70
2014  49  0 15 71    4.83   -0.65   363.4   2.64  103095.  0.70
2014  49  0 16 71    4.77   -0.85   363.3   2.59   94721.  0.68
2014  49  0 17 71    4.78   -1.08   363.6   2.57   98173.  0.68
2014  49  0 18 71    4.82   -0.79   364.2   2.52  105303.  0.67
2014  49  0 19 71    4.79   -0.82 99999.9 999.99 9999999. 99.99
2014  49  0 20 71    4.80   -0.89   360.6   2.59   90043.  0.67
2014  49  0 21 71    4.84   -1.00   360.6   2.59   90043.  0.67
2014  49  0 22 71    4.83   -1.05 99999.9 999.99 9999999. 99.99
2014  49  0 23 71    4.83   -1.48   362.4   2.57   89836.  0.68
2014  49  0 24 71    4.82   -1.33   362.4   2.57   89836.  0.68
2014  49  0 25 71    4.83   -1.25   364.7   2.59   90808.  0.69
2014  49  0 26 71    4.82   -1.03   363.0   2.60   88881.  0.69
2014  49  0 27 71    4.87   -1.25   362.1   2.58   87309.  0.68
2014  49  0 28 71    4.90   -1.52   362.9   2.53   88318.  0.67
2014  49  0 29 71    4.85   -1.44 99999.9 999.99 9999999. 99.99
2014  49  0 30 71    4.82   -1.52 99999.9 999.99 9999999. 99.99
2014  49  0 31 71    4.81   -1.52   364.5   2.52   99200.  0.67
2014  49  0 32 71    4.82   -1.43   363.9   2.58   98408.  0.68
2014  49  0 33 71    4.86   -1.67   363.8   2.58   86579.  0.68
2014  49  0 34 71    4.81   -1.66   367.5   2.54   87506.  0.69
2014  49  0 35 71    4.80   -1.47   365.9   2.57   93123.  0.69
2014  49  0 36 71    4.79   -1.28   365.3   2.58   89757.  0.69
2014  49  0 37 71    4.77   -1.15   363.4   2.59   78330.  0.68
2014  49  0 38 71    4.75   -1.14   362.7   2.67   84732.  0.70
2014  49  0 39 71    4.82   -1.11 99999.9 999.99 9999999. 99.99
2014  49  0 40 71    4.79   -1.00   361.2   2.65   78424.  0.69
2014  49  0 41 71    4.84   -1.28   361.2   2.65   78424.  0.69
2014  49  0 42 71    4.80   -1.41   363.7   2.76   71618.  0.73
2014  49  0 43 71    4.76   -1.58   364.1   2.78   74018.  0.74
2014  49  0 44 71    4.75   -1.06   363.8   2.73   80831.  0.72
2014  49  0 45 71    4.80   -0.82   363.6   2.62   87640.  0.69
2014  49  0 46 71    4.77   -0.67   362.3   2.73   79051.  0.72
2014  49  0 47 71    4.81   -1.09   361.4   2.75   68680.  0.72
2014  49  0 48 71    4.75   -1.29 99999.9 999.99 9999999. 99.99
2014  49  0 49 71    4.75   -0.92   365.6   2.64   84575.  0.71
2014  49  0 50 71    4.74    0.14   365.6   2.64   84575.  0.71
2014  49  0 51 71    4.77   -0.38   361.7   2.73   81190.  0.71
2014  49  0 52 71    4.72   -0.76   361.7   2.73   81362.  0.71
2014  49  0 53 71    4.68   -1.02   359.8   2.75   85732.  0.71
2014  49  0 54 71    4.75   -1.18 99999.9 999.99 9999999. 99.99
2014  49  0 55 71    4.71   -1.10 99999.9 999.99 9999999. 99.99
2014  49  0 56 71    4.60   -1.14 99999.9 999.99 9999999. 99.99
2014  49  0 57 71    4.66   -0.97   363.2   2.62   88935.  0.69
2014  49  0 58 71    4.74   -1.11   363.2   2.62   88935.  0.69
2014  49  0 59 71    4.64   -1.20   362.5   2.60   85077.  0.68
2014  49  1  0 71    4.70   -1.12   361.5   2.57   86560.  0.67
2014  49  1  1 71    4.67   -1.14   363.5   2.60   86426.  0.69
2014  49  1  2 71    4.65   -0.81   359.6   2.64   87549.  0.68
2014  49  1  3 71    4.60   -0.51   360.3   2.62   85786.  0.68
2014  49  1  4 71    4.63   -0.59   362.3   2.55   81842.  0.67
2014  49  1  5 71    4.65   -0.03   360.3   2.52   80562.  0.65
2014  49  1  6 71    4.64   -0.00   359.2   2.53   82876.  0.65
2014  49  1  7 71    4.64    0.31   357.6   2.50   83673.  0.64
2014  49  1  8 71    4.74    0.47   356.8   2.44   81079.  0.62
2014  49  1  9 71    4.63    0.93   360.1   2.39   81109.  0.62
2014  49  1 10 71    4.60    0.25   358.9   2.37   89257.  0.61
2014  49  1 11 71    4.61    0.22   358.3   2.36   92393.  0.61
2014  49  1 12 71    4.73    0.20   358.7   2.34   83490.  0.60
2014  49  1 13 71    4.77    0.28   358.1   2.28   90600.  0.58
2014  49  1 14 71    4.72    0.34   358.6   2.22   88052.  0.57
2014  49  1 15 71    4.78    0.39   359.0   2.15   97568.  0.55
2014  49  1 16 71    4.74    0.37   359.6   2.13   97045.  0.55
2014  49  1 17 71    4.75    0.42   359.9   2.11   96782.  0.55
2014  49  1 18 71    4.71    0.37 99999.9 999.99 9999999. 99.99
2014  49  1 19 71    4.80    0.16 99999.9 999.99 9999999. 99.99
2014  49  1 20 71    4.76    0.01 99999.9 999.99 9999999. 99.99
2014  49  1 21 71    4.76    0.09   357.5   2.43   87702.  0.62
2014  49  1 22 71    4.74    0.21   358.1   2.26   91271.  0.58
2014  49  1 23 71    4.61    1.05   360.0   2.13   89494.  0.55
2014  49  1 24 71    4.54    1.14   367.0   1.95   79172.  0.53
2014  49  1 25 71    4.58    1.30   357.9   2.21   88745.  0.57
2014  49  1 26 71    4.56    1.71   358.2   2.22   85571.  0.57
2014  49  1 27 71    4.57    2.71   381.5   1.91   34506.  0.56
2014  49  1 28 71    4.57    2.54   378.7   1.91   45859.  0.55
2014  49  1 29 71    4.51    2.45   365.3   1.93   99824.  0.52
2014  49  1 30 71    4.55    2.72 99999.9 999.99 9999999. 99.99
2014  49  1 31 71    4.55    1.98 99999.9 999.99 9999999. 99.99
2014  49  1 32 71    4.51    1.67 99999.9 999.99 9999999. 99.99
2014  49  1 33 71    4.50    0.23   359.2   2.25   79043.  0.58
2014  49  1 34 71    4.46    0.28   359.2   2.25   79043.  0.58
2014  49  1 35 71    4.40    1.17   361.3   2.04   59766.  0.53
2014  49  1 36 71    4.42    1.03   361.4   2.06   60137.  0.54
2014  49  1 37 71    4.45    1.08   361.5   2.06   60692.  0.54
2014  49  1 38 71    4.50    1.12   361.8   2.10   58466.  0.55
2014  49  1 39 71    4.49    1.64   361.2   2.19   56050.  0.57
2014  49  1 40 71    4.64    1.22   359.5   2.36   60666.  0.61
2014  49  1 41 71    4.53    1.25   359.7   2.14   72482.  0.55
2014  49  1 42 71    4.53    0.98   358.3   2.06   68957.  0.53
2014  49  1 43 71    4.51    0.93   361.7   2.13   80216.  0.56
2014  49  1 44 71    4.57    0.87   358.0   2.24   70079.  0.57
2014  49  1 45 71    4.59    1.10   357.2   2.30   77080.  0.59
2014  49  1 46 71    4.68    0.23   358.5   2.01  101870.  0.52
2014  49  1 47 71    4.54    1.06   358.5   2.01  101870.  0.52
2014  49  1 48 71    4.55    1.18 99999.9 999.99 9999999. 99.99
2014  49  1 49 71    4.58    0.74 99999.9 999.99 9999999. 99.99
2014  49  1 50 71    4.67    0.24 99999.9 999.99 9999999. 99.99
2014  49  1 51 71    4.39    1.54 99999.9 999.99 9999999. 99.99
2014  49  1 52 71    4.37    1.94 99999.9 999.99 9999999. 99.99
2014  49  1 53 71    4.38    1.83 99999.9 999.99 9999999. 99.99
2014  49  1 54 71    4.43    1.66 99999.9 999.99 9999999. 99.99
2014  49  1 55 71    4.35    2.11 99999.9 999.99 9999999. 99.99
2014  49  1 56 71    4.39    2.90 99999.9 999.99 9999999. 99.99
2014  49  1 57 71    4.42    2.69 99999.9 999.99 9999999. 99.99
2014  49  1 58 71    4.38    2.41 99999.9 999.99 9999999. 99.99
2014  49  1 59 71    4.38    1.57 99999.9 999.99 9999999. 99.99
2014  49  2  0 71    4.40    0.66   364.8   1.98   58970.  0.53
2014  49  2  1 71    4.36   -0.37   364.8   1.98   58970.  0.53
2014  49  2  2 71    4.32    2.37   372.9   1.97   62510.  0.55
2014  49  2  3 71    4.32    2.00   372.9   1.97   62510.  0.55
2014  49  2  4 71    4.41    0.07   361.7   2.11   56385.  0.55
2014  49  2  5 71    4.54   -0.83   361.7   2.11   56385.  0.55
2014  49  2  6 71    4.78   -1.10   366.3   2.26   67105.  0.61
2014  49  2  7 71    4.34    0.01   366.9   2.28   54916.  0.61
2014  49  2  8 71    4.37   -0.50   368.4   2.51   48822.  0.68
2014  49  2  9 71    4.54   -0.86   358.5   2.50   69581.  0.64
2014  49  2 10 71    4.39   -1.02   367.0   2.26   55045.  0.61
2014  49  2 11 71    4.33   -1.00   370.8   2.15   48736.  0.59
2014  49  2 12 71    4.29   -1.79   368.1   2.80   52121.  0.76
2014  49  2 13 71    4.23   -1.20   368.0   2.78   52035.  0.75
